trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
86,2023-05-31,SHORT,10:20,14,10:30,16,11:45,31,18541.15,18518.15,18563.55,18517.15,TARGET,23.0,1645.0,15,1,17.4,0.8764,0.0345
87,2023-06-01,SHORT,09:20,2,09:30,4,09:35,5,18531.6,18557.7,18565.35,18503.85,FT_FAILURE,-26.1,-2037.5,1,1,28.75,0.7409,0.1426
88,2023-06-02,SHORT,09:20,2,09:30,4,09:50,8,18553.9,18530.9,18575.25,18529.9,TARGET,23.0,1645.0,4,1,16.35,0.5535,0.1437
89,2023-06-02,SHORT,09:55,9,10:05,11,11:35,29,18500.75,18530.9,18529.9,18476.75,STOP_LOSS,-30.15,-2341.25,18,1,24.15,0.7308,0.0
90,2023-06-06,LONG,09:25,3,09:35,5,09:55,9,18606.4,18581.15,18582.15,18630.4,STOP_LOSS,-25.25,-1973.75,4,1,19.25,0.5818,0.9922
91,2023-06-08,LONG,09:35,5,09:45,7,10:45,19,18752.9,18775.9,18729.3,18776.9,TARGET,23.0,1645.0,12,1,18.6,0.7285,0.9624
92,2023-06-09,SHORT,09:25,3,09:35,5,09:40,6,18646.0,18623.0,18673.3,18622.0,TARGET,23.0,1645.0,1,1,22.3,0.7152,0.0135
93,2023-06-09,LONG,09:45,7,09:55,9,10:25,15,18657.75,18620.95,18621.95,18687.55,STOP_LOSS,-36.8,-2840.0,6,1,30.8,1.0,1.0
94,2023-06-12,LONG,10:15,13,10:25,15,14:15,61,18600.25,18623.25,18573.0,18624.25,TARGET,23.0,1645.0,46,1,22.25,0.7528,0.9326
95,2023-06-13,LONG,09:20,2,09:30,4,11:05,23,18686.55,18709.55,18665.15,18710.55,TARGET,23.0,1645.0,19,1,16.4,0.6159,0.8933
96,2023-06-14,SHORT,09:20,2,09:35,5,10:45,19,18706.5,18734.2,18733.2,18682.5,STOP_LOSS,-27.7,-2157.5,14,1,21.7,0.7189,0.0
97,2023-06-15,LONG,09:45,7,09:55,9,10:20,14,18768.5,18791.5,18739.05,18792.5,TARGET,23.0,1645.0,5,1,24.45,0.8487,0.908
98,2023-06-16,LONG,09:30,4,09:40,6,10:05,11,18770.35,18748.85,18749.85,18794.35,STOP_LOSS,-21.5,-1692.5,5,1,15.5,0.9516,0.9516
99,2023-06-16,LONG,10:10,12,10:20,14,14:15,61,18769.25,18792.25,18744.2,18793.25,TARGET,23.0,1645.0,47,1,20.05,0.8978,0.9401
100,2023-06-19,SHORT,09:30,4,09:40,6,10:20,14,18836.25,18813.25,18859.0,18812.25,TARGET,23.0,1645.0,8,1,17.75,0.6648,0.2225
101,2023-06-20,SHORT,09:20,2,09:30,4,10:30,16,18686.85,18663.65,18717.05,18662.65,TARGET,23.2,1660.0,12,1,25.2,0.8988,0.0833
102,2023-06-21,LONG,09:20,2,09:30,4,10:55,21,18856.8,18819.8,18820.8,18900.45,STOP_LOSS,-37.0,-2855.0,17,1,44.65,0.9496,0.9787
103,2023-06-22,LONG,09:20,2,09:30,4,11:25,27,18865.45,18832.55,18833.55,18891.35,STOP_LOSS,-32.9,-2547.5,23,1,26.9,0.619,0.9888
104,2023-06-23,SHORT,09:20,2,09:30,4,09:40,6,18681.0,18653.45,18715.55,18652.45,TARGET,27.55,1986.25,2,1,29.55,0.6176,0.0017
105,2023-06-23,LONG,09:45,7,09:55,9,10:30,16,18691.0,18720.3,18655.0,18721.3,TARGET,29.3,2117.5,7,1,31.3,0.9744,0.9744
106,2023-06-26,LONG,09:25,3,09:35,5,09:55,9,18707.5,18670.5,18671.5,18738.45,STOP_LOSS,-37.0,-2855.0,4,1,31.95,0.6651,0.8498
107,2023-06-27,SHORT,09:25,3,09:40,6,14:00,58,18736.85,18763.75,18762.75,18712.85,STOP_LOSS,-26.9,-2097.5,52,1,20.9,0.9115,0.0646
108,2023-07-03,LONG,09:20,2,09:30,4,09:50,8,19295.05,19318.05,19268.6,19319.05,TARGET,23.0,1645.0,4,1,21.45,0.7552,1.0
109,2023-07-03,SHORT,09:55,9,10:05,11,10:10,12,19301.75,19325.0,19333.15,19276.35,FT_FAILURE,-23.25,-1823.75,1,1,26.4,0.7121,0.2064
110,2023-07-05,LONG,09:20,2,09:30,4,09:35,5,19412.4,19384.55,19376.4,19450.35,FT_FAILURE,-27.85,-2168.75,1,1,38.95,0.6098,0.8023
111,2023-07-06,LONG,09:20,2,09:30,4,09:35,5,19419.3,19386.5,19387.5,19445.1,STOP_LOSS,-32.8,-2540.0,1,1,26.8,0.5261,0.9515
112,2023-07-06,LONG,09:55,9,10:05,11,10:25,15,19430.55,19453.55,19404.5,19454.55,TARGET,23.0,1645.0,4,1,21.05,0.6983,0.9074
113,2023-07-07,LONG,09:20,2,09:30,4,09:55,9,19478.6,19508.55,19442.6,19509.55,TARGET,29.95,2166.25,5,1,31.95,0.7496,0.9671
