date,open,high,low,close,volume
2025-12-30 11:15:00,387.85,398.45,354.45,359.45,85620
2025-12-30 12:15:00,359.45,388.9,357.15,379.35,63180
2025-12-30 13:15:00,379.35,431.8,375.0,427.0,262290
2025-12-30 14:15:00,427.0,454.85,401.1,453.2,316800
2025-12-30 15:15:00,453.2,463.0,447.0,463.0,147630
2025-12-31 09:15:00,412.25,498.15,354.0,484.0,672600
2025-12-31 10:15:00,484.8,532.0,475.05,510.3,626610
2025-12-31 11:15:00,510.3,529.2,484.1,528.0,318540
2025-12-31 12:15:00,528.0,655.0,524.15,623.7,719880
2025-12-31 13:15:00,623.6,639.9,570.4,618.45,332700
2025-12-31 14:15:00,618.45,622.45,531.5,557.85,524910
2025-12-31 15:15:00,557.85,584.85,551.8,579.6,175590
2026-01-01 09:15:00,689.6,689.6,508.35,544.15,716190
2026-01-01 10:15:00,544.15,596.8,521.15,585.05,603270
2026-01-01 11:15:00,585.7,598.0,560.0,562.25,282570
2026-01-01 12:15:00,562.25,576.7,547.4,566.5,185850
2026-01-01 13:15:00,566.5,576.9,553.75,572.3,176310
2026-01-01 14:15:00,572.3,582.0,556.8,576.45,305970
2026-01-01 15:15:00,576.45,580.85,573.0,576.05,122040
2026-01-02 09:15:00,581.0,784.0,579.05,757.15,1846650
2026-01-02 10:15:00,757.15,771.5,747.15,759.0,405090
2026-01-02 11:15:00,759.0,846.85,756.5,837.65,787080
2026-01-02 12:15:00,838.3,845.0,785.0,801.45,538350
2026-01-02 13:15:00,801.3,821.75,790.5,801.25,324090
2026-01-02 14:15:00,801.25,810.0,750.0,779.5,865380
2026-01-02 15:15:00,779.0,827.75,776.2,820.9,266490
2026-01-05 09:15:00,821.05,914.75,779.0,905.75,796920
2026-01-05 10:15:00,905.75,920.0,852.5,884.65,199110
2026-01-05 11:15:00,884.65,884.65,805.4,845.4,178740
2026-01-05 12:15:00,845.4,856.85,761.15,761.15,166680
2026-01-05 13:15:00,761.15,769.2,591.65,613.6,883800
2026-01-05 14:15:00,613.35,719.0,605.0,679.0,799890
2026-01-05 15:15:00,680.75,685.85,653.25,660.5,134550
2026-01-06 09:15:00,714.8,848.6,663.15,829.35,983670
2026-01-06 10:15:00,829.35,844.85,786.55,800.5,240900
2026-01-06 11:15:00,800.5,825.0,732.0,807.45,352410
2026-01-06 12:15:00,807.45,814.35,764.0,789.45,186150
2026-01-06 13:15:00,789.45,789.45,701.55,714.0,306540
2026-01-06 14:15:00,714.0,744.7,679.35,742.7,484590
2026-01-06 15:15:00,743.0,751.05,735.55,747.75,104190
2026-01-07 09:15:00,720.1,733.7,598.0,636.2,1175730
2026-01-07 10:15:00,636.2,691.9,605.35,658.65,912360
2026-01-07 11:15:00,659.95,698.15,610.1,627.0,569310
2026-01-07 12:15:00,627.0,635.0,569.85,593.1,465540
2026-01-07 13:15:00,593.1,599.0,524.9,553.05,523290
2026-01-07 14:15:00,553.05,650.0,548.05,648.2,728280
2026-01-07 15:15:00,648.2,651.0,621.0,628.1,202710
2026-01-08 09:15:00,621.0,683.0,560.0,611.35,1628310
2026-01-08 10:15:00,611.35,643.0,510.25,523.65,1061940
2026-01-08 11:15:00,524.0,530.0,453.05,503.75,1121310
2026-01-08 12:15:00,505.95,524.45,477.0,517.9,595140
2026-01-08 13:15:00,517.9,520.0,489.2,508.0,154470
