date,open,high,low,close,volume
2025-12-26 14:45:00,1000.0,1006.8,975.55,990.9,13560
2025-12-26 15:15:00,990.9,1004.6,980.05,980.05,12270
2025-12-29 09:15:00,975.05,1003.85,951.35,963.9,22530
2025-12-29 09:45:00,963.9,1053.5,956.55,1036.05,36540
2025-12-29 10:15:00,1036.05,1059.0,1030.0,1056.65,9450
2025-12-29 10:45:00,1056.65,1085.0,1047.1,1076.2,19140
2025-12-29 11:15:00,1076.2,1116.45,1076.2,1091.75,15900
2025-12-29 11:45:00,1091.75,1104.85,1075.05,1087.5,8040
2025-12-29 12:15:00,1087.5,1117.0,1087.05,1107.35,4440
2025-12-29 12:45:00,1107.35,1110.0,1081.6,1094.0,2460
2025-12-29 13:15:00,1094.0,1115.5,1091.8,1095.0,4110
2025-12-29 13:45:00,1095.0,1095.0,1025.0,1059.0,11370
2025-12-29 14:15:00,1059.0,1088.9,1005.05,1021.3,12570
2025-12-29 14:45:00,1021.3,1055.1,1019.1,1043.1,14850
2025-12-29 15:15:00,1043.1,1055.25,1032.3,1055.0,7770
2025-12-30 09:15:00,1069.95,1146.55,1051.25,1097.75,39900
2025-12-30 09:45:00,1097.75,1135.55,1021.25,1032.0,17700
2025-12-30 10:15:00,1032.0,1032.0,945.0,1014.0,26580
2025-12-30 10:45:00,1014.0,1050.25,986.8,1021.15,12630
2025-12-30 11:15:00,1021.15,1035.65,990.15,990.15,9600
2025-12-30 11:45:00,990.15,1057.0,990.15,1054.3,6900
2025-12-30 12:15:00,1054.3,1054.3,1007.0,1018.05,5460
2025-12-30 12:45:00,1018.05,1042.2,990.0,1016.95,6150
2025-12-30 13:15:00,1016.95,1021.85,940.0,950.0,10230
2025-12-30 13:45:00,950.0,950.0,909.05,916.0,36540
2025-12-30 14:15:00,916.0,952.0,886.0,904.05,27510
2025-12-30 14:45:00,904.05,915.6,855.6,855.6,52350
2025-12-30 15:15:00,855.6,859.85,840.0,840.0,36030
2025-12-31 09:15:00,919.9,961.2,783.2,823.0,95040
2025-12-31 09:45:00,823.0,824.85,780.0,785.4,34830
2025-12-31 10:15:00,785.3,785.3,721.0,731.0,72660
2025-12-31 10:45:00,729.0,743.85,714.9,735.35,79950
2025-12-31 11:15:00,735.35,759.35,729.05,737.3,50040
2025-12-31 11:45:00,737.3,744.7,717.25,720.5,44520
2025-12-31 12:15:00,720.0,721.0,674.55,674.55,110670
2025-12-31 12:45:00,674.55,674.7,625.0,651.85,230970
2025-12-31 13:15:00,650.55,685.25,631.2,663.3,141540
2025-12-31 13:45:00,663.3,668.7,638.3,648.55,120720
2025-12-31 14:15:00,648.55,665.0,640.0,642.85,113970
2025-12-31 14:45:00,643.05,708.6,643.05,689.3,210960
2025-12-31 15:15:00,689.05,693.6,662.0,663.05,81180
2026-01-01 09:15:00,663.1,710.5,631.0,646.0,205140
2026-01-01 09:45:00,646.0,687.25,645.25,666.9,111840
2026-01-01 10:15:00,666.9,693.0,617.1,634.45,132540
2026-01-01 10:45:00,634.45,644.0,620.0,629.2,102210
2026-01-01 11:15:00,629.2,640.0,620.0,640.0,62610
2026-01-01 11:45:00,640.0,650.0,627.5,647.6,73890
2026-01-01 12:15:00,648.0,663.0,634.85,651.5,62760
2026-01-01 12:45:00,651.5,653.25,631.2,641.0,32160
2026-01-01 13:15:00,641.0,650.0,634.8,637.0,40980
2026-01-01 13:45:00,637.0,643.25,627.4,634.75,68970
2026-01-01 14:15:00,634.75,644.0,624.8,638.1,70560
2026-01-01 14:45:00,638.1,646.0,630.9,637.25,92310
2026-01-01 15:15:00,637.25,641.0,627.4,627.4,49110
2026-01-02 09:15:00,624.0,635.75,483.7,485.95,683220
2026-01-02 09:45:00,485.8,503.8,477.8,489.7,552660
2026-01-02 10:15:00,490.6,500.05,482.6,489.55,299250
2026-01-02 10:45:00,489.65,495.0,486.35,490.0,168300
2026-01-02 11:15:00,490.0,490.0,454.35,463.95,422820
2026-01-02 11:45:00,463.95,469.65,450.0,455.7,314730
2026-01-02 12:15:00,455.7,470.65,452.6,468.95,228570
2026-01-02 12:45:00,468.95,477.0,456.2,465.95,211050
2026-01-02 13:15:00,465.95,469.3,457.8,466.5,140610
2026-01-02 13:45:00,466.5,470.4,459.0,463.3,127920
2026-01-02 14:15:00,463.3,480.0,455.0,474.35,354210
2026-01-02 14:45:00,474.35,482.0,460.4,466.7,449700
2026-01-02 15:15:00,467.6,470.0,446.7,447.55,301140
2026-01-05 09:15:00,424.8,462.0,400.05,430.0,644670
2026-01-05 09:45:00,430.0,439.0,386.65,391.75,338430
2026-01-05 10:15:00,391.75,414.0,386.05,403.0,203610
2026-01-05 10:45:00,403.0,414.9,393.55,404.0,137850
2026-01-05 11:15:00,403.05,439.9,402.4,415.1,256890
2026-01-05 11:45:00,414.0,429.0,402.65,415.0,138540
2026-01-05 12:15:00,415.0,429.95,408.15,423.1,87540
2026-01-05 12:45:00,423.1,464.15,409.05,463.4,212010
2026-01-05 13:15:00,465.05,503.65,452.65,487.15,492330
2026-01-05 13:45:00,485.9,582.0,485.9,559.75,858600
2026-01-05 14:15:00,559.75,565.3,484.0,488.15,405840
2026-01-05 14:45:00,489.0,509.0,475.0,502.85,356340
2026-01-05 15:15:00,502.85,524.75,501.15,518.0,234240
2026-01-06 09:15:00,520.0,542.5,430.0,454.95,836520
2026-01-06 09:45:00,455.05,455.05,400.0,414.0,383790
2026-01-06 10:15:00,414.0,431.95,406.0,421.7,255630
2026-01-06 10:45:00,421.5,429.95,415.0,426.9,141990
2026-01-06 11:15:00,426.9,462.9,416.75,417.75,361470
2026-01-06 11:45:00,417.75,432.1,408.05,421.4,165150
2026-01-06 12:15:00,421.4,436.0,416.6,430.9,129810
2026-01-06 12:45:00,430.9,443.35,412.45,423.6,182670
2026-01-06 13:15:00,423.6,465.5,423.6,439.2,269550
2026-01-06 13:45:00,438.8,471.65,433.05,462.4,227820
2026-01-06 14:15:00,462.4,487.95,453.95,459.35,452820
2026-01-06 14:45:00,459.35,462.7,437.1,441.4,284910
